,Unnamed: 0,id,sentence_text,ner_tags_str,entities_pred,llm_time,llm_prompt_tokens,llm_completion_tokens
12,12,748,Qualifier vs. 2 - Michael Chang ( U.S. ),O O O O B-PER I-PER O B-LOC O,"[{'entity': 'Michael Chang', 'label': 'PER'}, {'entity': 'U.S.', 'label': 'LOC'}]",0.749150276184082,81,51
13,13,10668,AMSTERDAM 1996-08-28,B-LOC O,"[{'entity': 'AMSTERDAM', 'label': 'LOC'}]",0.7873499393463135,78,33
14,14,3462,But play was finally suspended for the day when the storm continued .,O O O O O O O O O O O O O,[],0.996605634689331,81,11
15,15,469,"Celtic 's Jackie McNamara , who did well with last season 's successful under-21 team , earns a call-up to the senior squad .",B-ORG O B-PER I-PER O O O O O O O O O O O O O O O O O O O O,"[{'entity': 'Celtic', 'label': 'ORG'}, {'entity': 'Jackie McNamara', 'label': 'PER'}]",0.8125545978546143,101,55
16,16,4744,14. Rubens Barrichello ( Brazil ) Jordan 29,O B-PER I-PER O B-LOC O B-ORG O,"[{'entity': 'Rubens Barrichello', 'label': 'PER'}, {'entity': 'Brazil', 'label': 'LOC'}, {'entity': 'Jordan', 'label': 'ORG'}]",0.94061279296875,81,71
17,17,219,AD-DIYAR,B-ORG,[],0.70534348487854,73,11
18,18,7329,""" The head of state 's holiday has only just begun , "" the agency quoted Sergei Yastrzhembsky as saying , adding that the president was currently in a Kremlin residence near Moscow .",O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O B-LOC O O B-LOC O,"[{'entity': 'Sergei Yastrzhembsky', 'label': 'PER'}, {'entity': 'Kremlin', 'label': 'ORG'}, {'entity': 'Moscow', 'label': 'LOC'}]",0.9727175235748292,108,77
19,19,8700,VfB Stuttgart 3 3 0 0 10 1 9,B-ORG I-ORG O O O O O O O,"[{'entity': 'VfB Stuttgart', 'label': 'ORG'}]",0.6903722286224365,86,34
20,20,6850,Botafogo 3 1 2 0 4 3 5,B-ORG O O O O O O O,[],0.4994268417358398,85,11
21,21,5769,Roda JC Kerkrade 2 0 2 0 2 2 2,B-ORG I-ORG I-ORG O O O O O O O,"[{'entity': 'Roda JC Kerkrade', 'label': 'ORG'}]",0.898890495300293,88,36
22,22,2460,1. Lars Riedel ( Germany ) 66.74 metres,O B-PER I-PER O B-LOC O O O,"[{'entity': 'Lars Riedel', 'label': 'PER'}, {'entity': 'Germany', 'label': 'LOC'}]",0.8820374011993408,82,53
23,23,5724,"PSV Eindhoven 4 ( Faber 32nd , Nilis 63rd 79th , Petrovic 78th )",B-ORG I-ORG O O B-PER O O B-PER O O O B-PER O O,"[{'entity': 'PSV Eindhoven', 'label': 'ORG'}, {'entity': 'Faber', 'label': 'PER'}, {'entity': 'Nilis', 'label': 'PER'}, {'entity': 'Petrovic', 'label': 'PER'}]",0.9220750331878662,96,91
24,24,3426,"A Belgian man died and 31 people were injured after an accident in Friday 's opening phase of the world championship 1,000 Lakes Rally .",O B-MISC O O O O O O O O O O O O O O O O O O O B-MISC I-MISC I-MISC O,"[{'entity': 'Belgian', 'label': 'MISC'}, {'entity': '1,000 Lakes Rally', 'label': 'MISC'}]",1.048919916152954,98,56
25,25,795,NEW YORK 59 69 .461 21 1/2,B-ORG I-ORG O O O O O,"[{'entity': 'NEW YORK', 'label': 'LOC'}]",0.921220064163208,82,32
26,26,13723,Simex Nikkei futures ended easier but off the day 's lows on Thursday .,B-MISC I-MISC O O O O O O O O O O O O,"[{'entity': 'Simex', 'label': 'ORG'}, {'entity': 'Nikkei', 'label': 'MISC'}]",1.1053061485290527,85,53
27,27,5218,Results of Australian Rules,O O B-MISC I-MISC,"[{'entity': 'Australian Rules', 'label': 'MISC'}]",0.8114526271820068,72,33
28,28,2146,Pittsburgh 8 HOUSTON 6,B-ORG O B-ORG O,"[{'entity': 'Pittsburgh', 'label': 'LOC'}, {'entity': 'HOUSTON', 'label': 'LOC'}]",1.1246018409729004,78,53
29,29,10192,West Bromwich 3 0 2 1 2 3 2,B-ORG I-ORG O O O O O O O,[],0.8569633960723877,85,9
30,30,7597,--,O,[],0.6139545440673828,69,11
31,31,9206,One diplomat said Iraq and U.N. were still in disagreement on how many international observers would be required to ascertain the equitable distribution of humanitarian supplies that will be procured under Baghdad 's oil deal with U.N .,O O O B-LOC O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O,"[{'entity': 'Iraq', 'label': 'LOC'}, {'entity': 'U.N.', 'label': 'ORG'}, {'entity': 'Baghdad', 'label': 'LOC'}, {'entity': 'U.N.', 'label': 'ORG'}]",1.2323908805847168,111,89
32,32,170,"Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .",O B-MISC O O O O B-LOC I-LOC I-LOC O O O B-MISC O O O O O B-MISC O O O O B-LOC O O O O O O B-MISC O O B-LOC I-LOC O O O O,"[{'entity': 'Afghan', 'label': 'MISC'}, {'entity': 'United Arab Emirates', 'label': 'LOC'}, {'entity': 'Russian', 'label': 'MISC'}, {'entity': 'Taleban', 'label': 'ORG'}, {'entity': 'Afghanistan', 'label': 'LOC'}, {'entity': 'Afghan', 'label': 'MISC'}, {'entity': 'Abu Dhabi', 'label': 'LOC'}]",1.4713046550750732,109,150
33,33,12975,"The poll , conducted earlier this month after Banharn 's coalition completed one year in office , showed the military would prefer General Chatichai Choonhavan -- a former prime minister who was ousted in a military coup in February 1991 -- as prime minister .",O O O O O O O O B-PER O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O,"[{'entity': 'Banharn', 'label': 'PER'}, {'entity': 'General Chatichai Choonhavan', 'label': 'PER'}]",1.049211025238037,124,58
34,34,5461,Domingos redeemed himself by netting the equaliser just into extra time .,B-PER O O O O O O O O O O O,[],0.5787529945373535,83,11
35,35,9736,Forsa June 6 39.0 36.0 6.0 12.0 5.0,B-ORG O O O O O O O,[],0.4373068809509277,93,11
36,36,10653,"Pires , one of the most promising strikers in the country , was called up for the first time this week by French manager Aime Jacquet for a friendly against Mexico on Saturday at the Parc des Princes .",B-PER O O O O O O O O O O O O O O O O O O O O O B-MISC O B-PER I-PER O O O O B-LOC O O O O B-LOC I-LOC I-LOC O,"[{'entity': 'Pires', 'label': 'PER'}, {'entity': 'French', 'label': 'MISC'}, {'entity': 'Aime Jacquet', 'label': 'PER'}, {'entity': 'Mexico', 'label': 'LOC'}, {'entity': 'Parc des Princes', 'label': 'LOC'}]",1.368086576461792,111,111
37,37,10379,""" When I saw the new draw I did n't have to change my preparation , "" Medvedev said . """,O O O O O O O O O O O O O O O O O B-PER O O O,"[{'entity': 'Medvedev', 'label': 'PER'}]",0.7979609966278076,91,33
38,38,5313,OB 1 Lotte 1,B-ORG O B-PER O,[],0.6136550903320312,75,11
39,39,5712,Volendam 0 .,B-ORG O O,[],0.5513150691986084,73,11
