,id,sentence_text,ner_tags_str,entities_pred,llm_time,llm_prompt_tokens,llm_completion_tokens
11,6923,"A small bottle of a garishly-coloured sports drink at the sun-drenched U.S. Open is going for $ 3.75 , while a litre of basic , life-sustaining water will set you back $ 4.00 -- for water ?",O O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O O O,"[{'label': 'LOC', 'entity': 'U.S. Open'}]",0.7924129962921143,122,30
12,748,Qualifier vs. 2 - Michael Chang ( U.S. ),O O O O B-PER I-PER O B-LOC O,"[{'label': 'PER', 'entity': 'Michael Chang'}, {'label': 'LOC', 'entity': 'U.S.'}]",1.5670318603515625,81,47
13,10668,AMSTERDAM 1996-08-28,B-LOC O,"[{'label': 'LOC', 'entity': 'AMSTERDAM'}]",1.000925064086914,78,29
14,3462,But play was finally suspended for the day when the storm continued .,O O O O O O O O O O O O O,[],0.6612210273742676,81,7
15,469,"Celtic 's Jackie McNamara , who did well with last season 's successful under-21 team , earns a call-up to the senior squad .",B-ORG O B-PER I-PER O O O O O O O O O O O O O O O O O O O O,"[{'entity': 'Jackie McNamara', 'label': 'PER'}, {'entity': 'Celtic', 'label': 'ORG'}]",1.8937456607818604,101,51
16,4744,14. Rubens Barrichello ( Brazil ) Jordan 29,O B-PER I-PER O B-LOC O B-ORG O,"[{'entity': 'Rubens Barrichello', 'label': 'PER'}, {'entity': 'Brazil', 'label': 'LOC'}, {'entity': 'Jordan', 'label': 'ORG'}]",1.4619295597076416,81,67
17,219,AD-DIYAR,B-ORG,"[{'entity': 'AD-DIYAR', 'label': 'ORG'}]",1.1539089679718018,73,31
18,7329,""" The head of state 's holiday has only just begun , "" the agency quoted Sergei Yastrzhembsky as saying , adding that the president was currently in a Kremlin residence near Moscow .",O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O B-LOC O O B-LOC O,"[{'entity': 'Sergei Yastrzhembsky', 'label': 'PER'}, {'entity': 'Kremlin', 'label': 'LOC'}, {'entity': 'Moscow', 'label': 'LOC'}]",2.008436679840088,108,73
19,8700,VfB Stuttgart 3 3 0 0 10 1 9,B-ORG I-ORG O O O O O O O,"[{'label': 'ORG', 'entity': 'VfB Stuttgart'}]",1.2378644943237305,86,30
20,6850,Botafogo 3 1 2 0 4 3 5,B-ORG O O O O O O O,[],0.7136774063110352,85,7
21,5769,Roda JC Kerkrade 2 0 2 0 2 2 2,B-ORG I-ORG I-ORG O O O O O O O,"[{'entity': 'Roda JC Kerkrade', 'label': 'ORG'}]",1.0756921768188477,88,32
22,2460,1. Lars Riedel ( Germany ) 66.74 metres,O B-PER I-PER O B-LOC O O O,"[{'entity': 'Lars Riedel', 'label': 'PER'}, {'entity': 'Germany', 'label': 'LOC'}]",1.483112335205078,82,49
23,5724,"PSV Eindhoven 4 ( Faber 32nd , Nilis 63rd 79th , Petrovic 78th )",B-ORG I-ORG O O B-PER O O B-PER O O O B-PER O O,"[{'label': 'ORG', 'entity': 'PSV Eindhoven'}, {'label': 'PER', 'entity': 'Faber'}, {'label': 'PER', 'entity': 'Nilis'}, {'label': 'PER', 'entity': 'Petrovic'}]",2.2439138889312744,96,87
24,3426,"A Belgian man died and 31 people were injured after an accident in Friday 's opening phase of the world championship 1,000 Lakes Rally .",O B-MISC O O O O O O O O O O O O O O O O O O O B-MISC I-MISC I-MISC O,"[{'label': 'LOC', 'entity': 'Belgian'}, {'label': 'MISC', 'entity': '1,000 Lakes Rally'}]",2.2127389907836914,98,51
25,795,NEW YORK 59 69 .461 21 1/2,B-ORG I-ORG O O O O O,"[{'label': 'LOC', 'entity': 'NEW YORK'}]",1.6980066299438477,82,28
26,13723,Simex Nikkei futures ended easier but off the day 's lows on Thursday .,B-MISC I-MISC O O O O O O O O O O O O,[],0.6078753471374512,85,7
27,5218,Results of Australian Rules,O O B-MISC I-MISC,[],0.5618882179260254,72,7
28,2146,Pittsburgh 8 HOUSTON 6,B-ORG O B-ORG O,"[{'label': 'LOC', 'entity': 'Pittsburgh'}, {'label': 'LOC', 'entity': 'HOUSTON'}]",1.5628983974456787,78,49
29,10192,West Bromwich 3 0 2 1 2 3 2,B-ORG I-ORG O O O O O O O,[],0.8205716609954834,85,7
30,7597,--,O,[],0.9364094734191896,69,7
31,9206,One diplomat said Iraq and U.N. were still in disagreement on how many international observers would be required to ascertain the equitable distribution of humanitarian supplies that will be procured under Baghdad 's oil deal with U.N .,O O O B-LOC O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O,"[{'entity': 'Iraq', 'label': 'LOC'}, {'entity': 'U.N.', 'label': 'ORG'}, {'entity': 'Baghdad', 'label': 'LOC'}]",2.174069881439209,111,66
32,170,"Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .",O B-MISC O O O O B-LOC I-LOC I-LOC O O O B-MISC O O O O O B-MISC O O O O B-LOC O O O O O O B-MISC O O B-LOC I-LOC O O O O,"[{'label': 'LOC', 'entity': 'Afghanistan'}, {'label': 'LOC', 'entity': 'United Arab Emirates'}, {'label': 'ORG', 'entity': 'Taleban'}, {'label': 'LOC', 'entity': 'Abu Dhabi'}, {'label': 'PER', 'entity': 'Afghan'}]",2.4375641345977783,109,106
33,12975,"The poll , conducted earlier this month after Banharn 's coalition completed one year in office , showed the military would prefer General Chatichai Choonhavan -- a former prime minister who was ousted in a military coup in February 1991 -- as prime minister .",O O O O O O O O B-PER O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O,"[{'label': 'PER', 'entity': 'Banharn'}, {'label': 'PER', 'entity': 'General Chatichai Choonhavan'}]",1.8051629066467283,124,54
34,5461,Domingos redeemed himself by netting the equaliser just into extra time .,B-PER O O O O O O O O O O O,[],0.7453470230102539,83,7
35,9736,Forsa June 6 39.0 36.0 6.0 12.0 5.0,B-ORG O O O O O O O,[],0.614844560623169,93,7
36,10653,"Pires , one of the most promising strikers in the country , was called up for the first time this week by French manager Aime Jacquet for a friendly against Mexico on Saturday at the Parc des Princes .",B-PER O O O O O O O O O O O O O O O O O O O O O B-MISC O B-PER I-PER O O O O B-LOC O O O O B-LOC I-LOC I-LOC O,"[{'entity': 'Pires', 'label': 'PER'}, {'entity': 'Aime Jacquet', 'label': 'PER'}, {'entity': 'Mexico', 'label': 'LOC'}, {'entity': 'Parc des Princes', 'label': 'LOC'}]",2.221798181533813,111,88
37,10379,""" When I saw the new draw I did n't have to change my preparation , "" Medvedev said . """,O O O O O O O O O O O O O O O O O B-PER O O O,"[{'entity': 'Medvedev', 'label': 'PER'}]",1.012237787246704,91,29
38,5313,OB 1 Lotte 1,B-ORG O B-PER O,"[{'entity': 'Lotte', 'label': 'ORG'}]",1.008336305618286,75,28
39,5712,Volendam 0 .,B-ORG O O,"[{'entity': 'Volendam', 'label': 'LOC'}]",0.9726839065551758,73,28
